Año,Grupos de edad,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 Y MÁS
2009,Hombres,2188332,2215708,2275253,2241457,2018680,1746528,1561319,1407733,1404035,1280181,1049103,833486,643844,477188,369818,247048,243995
2009,Mujeres,2091072,2125326,2178077,2127845,1967198,1812751,1644493,1512877,1527577,1395212,1154121,911106,707881,537976,441969,308138,331505
2010,Total,4279721,4308667,4424204,4392416,4048318,3615319,3266313,2927032,2933196,2737901,2288314,1815503,1412231,1048429,830113,588245,593662
2010,Hombres,2188787,2200373,2258722,2252800,2059500,1779905,1591864,1412796,1404380,1309918,1088520,865517,671391,492883,378256,260275,250773
2010,Mujeres,2090934,2108294,2165482,2139616,1988818,1835414,1674449,1514236,1528816,1427983,1199794,949986,740840,555546,451857,327970,342889
2011,Total,4284237,4286387,4393148,4403814,4110318,3678614,3323648,2956138,2923885,2790367,2374840,1890811,1473107,1089641,837870,615521,612255
2011,Hombres,2191282,2189770,2242213,2257296,2097701,1820091,1620460,1429005,1400271,1334362,1129352,899276,698985,511743,381406,270584,257502
2011,Mujeres,2092955,2096617,2150935,2146518,2012617,1858523,1703188,1527133,1523614,1456005,1245488,991535,774122,577898,456464,344937,354753
2012,Total,4291149,4272011,4359830,4401418,4169560,3746936,3375368,3007266,2903042,2832007,2460771,1969508,1533411,1139440,848094,641029,630983
2012,Hombres,2195042,2183050,2225316,2253817,2131976,1865770,1645881,1455986,1391246,1353150,1170514,934289,726244,534198,386153,280312,264143
2012,Mujeres,2096107,2088961,2134514,2147601,2037584,1881166,1729487,1551280,1511796,1478857,1290257,1035219,807167,605242,461941,360717,366840
2013,Total,4299725,4264594,4327970,4387955,4222511,3818440,3425261,3073074,2880514,2862194,2542977,2051081,1594650,1194296,865218,660523,650106
2013,Hombres,2199694,2179681,2209575,2244449,2160859,1914365,1671089,1490015,1381926,1366374,1210148,970679,753793,558729,394140,287769,270754
2013,Mujeres,2100031,2084913,2118395,2143506,2061652,1904075,1754172,1583059,1498588,1495820,1332829,1080402,840857,635567,471078,372754,379352
2014,Total,4310123,4260992,4301474,4367653,4264257,3889676,3478846,3141854,2869549,2879512,2617116,2134484,1659236,1250825,891781,674766,669643
2014,Hombres,2205140,2178087,2196672,2231913,2182627,1961986,1700271,1525194,1378539,1373706,1245714,1008294,782667,583881,406288,293335,277356
2014,Mujeres,2104983,2082905,2104802,2135740,2081630,1927690,1778575,1616660,1491010,1505806,1371402,1126190,876569,666944,485493,381431,392287
2015,Total,4321637,4258678,4282708,4345112,4292291,3957939,3539724,3205979,2879410,2883795,2680490,2218791,1728396,1307382,926841,684618,689614
2015,Hombres,2211071,2177132,2187619,2218821,2196610,2005736,1736122,1557606,1385333,1375401,1275603,1046914,813311,608850,421960,297544,284046
2015,Mujeres,2110566,2081546,2095089,2126291,2095681,1952203,1803602,1648373,1494077,1508394,1404887,1171877,915085,698532,504881,387074,405568
2016,Total,4335151,4263048,4265999,4321654,4306036,4022291,3605504,3264933,2909621,2875587,2732428,2302979,1800884,1363781,967539,700183,710090
2016,Hombres,2218206,2179889,2179636,2206054,2202542,2045161,1777536,1587121,1402143,1371868,1299581,1086167,845202,633630,439732,303690,290877
2016,Mujeres,2116945,2083159,2086363,2115600,2103494,1977130,1827968,1677812,1507478,1503719,1432847,1216812,955682,730151,527807,396493,419213
2017,Total,4348076,4270908,4256204,4299236,4307133,4083624,3676508,3318380,2961657,2856190,2773926,2386809,1876548,1420127,1013539,711175,731569
2017,Hombres,2225023,2184229,2175150,2194279,2201266,2080552,1824409,1613457,1429577,1363549,1318127,1125784,878207,658313,459560,308208,298057
2017,Mujeres,2123053,2086679,2081054,2104957,2105867,2003072,1852099,1704923,1532080,1492641,1455799,1261025,998341,761814,553979,402967,433512
2018,Total,4359358,4280527,4252711,4279637,4299104,4138652,3750017,3369633,3027900,2834721,2804044,2466980,1954304,1477875,1061933,722987,753857
2018,Hombres,2231050,2189328,2173872,2184400,2194912,2110684,1873924,1639402,1463783,1354753,1331190,1163904,912157,683495,480229,313226,305487
2018,Mujeres,2128308,2091199,2078839,2095237,2104192,2027968,1876093,1730231,1564117,1479968,1472854,1303076,1042147,794380,581704,409761,448370
2019,Total,4367826,4290373,4252922,4264866,4287040,4183803,3822631,3424448,3096815,2824243,2821248,2539388,2033070,1539018,1110984,738885,776918
2019,Hombres,2235794,2194413,2174523,2177761,2186495,2134511,1922357,1669248,1498944,1351607,1338411,1198169,946907,709997,500982,319974,313236
2019,Mujeres,2132032,2095960,2078399,2087105,2100545,2049292,1900274,1755200,1597871,1472636,1482837,1341219,1086163,829021,610002,418911,463682
2020,Total,4373565,4298770,4255643,4254234,4274906,4216692,3891467,3485871,3160456,2833416,2825074,2600875,2112198,1604139,1160128,763428,800885
2020,Hombres,2239292,2198748,2176423,2173341,2178299,2151355,1966814,1705526,1531091,1358061,1339882,1226758,982386,737936,521566,330117,321369
2020,Mujeres,2134273,2100022,2079220,2080893,2096607,2065337,1924653,1780345,1629365,1475355,1485192,1374117,1129812,866203,638562,433311,479516
