"","anio","mes","Fecha","hombres","mujeres","total"
"314",2017,2,2017-02-01,NA,NA,NA
"315",2017,3,2017-03-01,NA,NA,NA
"316",2017,4,2017-04-01,NA,NA,NA
"317",2017,5,2017-05-01,NA,NA,NA
"318",2017,6,2017-06-01,NA,NA,NA
"319",2017,7,2017-07-01,NA,NA,NA
"320",2017,8,2017-08-01,NA,NA,NA
"321",2017,9,2017-09-01,NA,NA,NA
"322",2017,10,2017-10-01,NA,NA,NA
"323",2017,11,2017-11-01,NA,NA,NA
"324",2017,12,2017-12-01,NA,NA,NA
